Year,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Uncleaned.Data,Department.Of.Labor.Cleaned.Low.Value,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value,Department.Of.Labor.Cleaned.High.Value.2020.Dollars,Footnote,st_x,Atkin05,Gini,RMeanDev,Theil,st_y,Top10_adj,Top5_adj,Top1_adj,Top05_adj,Top01_adj,Top001_adj,median_income,unempolyment_state,cur_dol_gdp_change,state_population,democratic_percentage
2006,Connecticut,7.4,9.49,5.15,6.61,7.4,9.49,201.6,7.4,7.4,9.49,7.4,9.49,,7,0.410813122987747,0.623358964920044,0.970157206058502,1.48724579811096,7,57.4934997558594,50.1858024597168,31.7464218139648,26.8863525390625,18.2655773162842,9.75259876251221,62404.0,4.0,6.8,3517460.0,0.16666666666666666
2006,Delaware,6.15,7.89,5.15,6.61,6.15,7.89,201.6,6.15,6.15,7.89,6.15,7.89,,8,0.306368619203568,0.563851416110992,0.826400876045227,0.911906957626343,8,43.8365097045898,33.0326385498047,19.1362648010254,15.3554649353027,9.20361995697021,4.10779333114624,52438.0,3.0,5.6,859268.0,0.3333333333333333
2006,Florida,6.4,8.21,5.15,6.61,6.4,8.21,201.6,6.4,6.4,8.21,6.4,8.21,,10,0.372420787811279,0.677420973777771,0.959074556827545,1.31036257743835,10,58.5970802307129,47.6422805786133,31.2488708496094,26.5897789001465,18.2625160217285,9.90456008911133,45676.0,3.0,6.8,18166990.0,0.125
2006,Hawaii,6.75,8.66,5.15,6.61,6.75,8.66,201.6,6.75,6.75,8.66,6.75,8.66,,12,0.282782346010208,0.573896706104279,0.812099993228912,0.784682154655457,12,40.3610229492188,28.9618110656738,15.9951362609863,12.5728588104248,7.18333148956299,2.993727684021,60470.0,2.0,6.3,1309731.0,0.3333333333333333
2006,Indiana,5.15,6.61,5.15,6.61,5.15,6.61,201.6,5.15(e),5.15,6.61,5.15,6.61,(e),15,0.265523672103882,0.590062379837036,0.807726860046387,0.701655149459839,15,41.5248794555664,29.748649597168,16.3214797973633,12.8821001052856,7.43043375015259,3.1391863822937,45407.0,5.0,4.8,6332669.0,0.0
2006,Maine,6.5,8.34,5.15,6.61,6.5,8.34,201.6,6.5,6.5,8.34,6.5,8.34,,20,0.261128187179565,0.604880213737488,0.801827669143677,0.680351197719574,20,42.0381126403809,30.5804443359375,16.1905784606934,12.5957889556885,7.02599573135376,2.82944774627686,45642.0,4.0,4.5,1323619.0,0.25
2006,Maryland,5.15,6.61,5.15,6.61,5.15,6.61,201.6,5.15,5.15,6.61,5.15,6.61,,21,0.317120432853699,0.546384215354919,0.834921717643738,0.948763787746429,21,41.3713531494141,32.3703804016113,17.6969680786133,13.8965368270874,7.92101001739502,3.29011130332947,63668.0,3.0,5.0,5627367.0,0.2
2006,Massachusetts,6.75,8.66,5.15,6.61,6.75,8.66,201.6,6.75,6.75,8.66,6.75,8.66,,22,0.359106004238129,0.594058096408844,0.902953147888184,1.19475221633911,22,50.5780220031738,41.6882476806641,24.7152881622314,20.1998023986816,12.6346111297607,5.99385738372803,55330.0,4.0,4.5,6410084.0,0.25
2006,Michigan,5.15,6.61,5.15,6.61,5.15,6.61,201.6,5.15(e),5.15,6.61,5.15,6.61,(e),23,0.273132741451263,0.595972895622253,0.833979308605194,0.726457715034485,23,44.2521324157715,30.9163856506348,16.6018486022949,12.9205636978149,7.2134051322937,2.90852355957031,48647.0,7.0,0.4,10036081.0,0.16666666666666666
2006,Minnesota,5.25,6.74,5.15,6.61,5.25,6.74,201.6,5.25 - 6.15(g),5.25,6.74,6.15,7.89,(g),24,0.300656080245972,0.570292055606842,0.828593194484711,0.88239586353302,24,43.4889450073242,32.9235649108887,18.5084819793701,14.6357574462891,8.47891426086426,3.60460805892944,56211.0,4.0,2.9,5163555.0,0.16666666666666666
2006,Mississippi,0.0,0.0,5.15,6.61,5.15,6.61,201.6,...,0.0,0.0,0.0,0.0,,25,0.258009821176529,0.707440733909607,0.834403157234192,0.678653359413147,25,45.2619895935059,33.6411285400391,18.0236301422119,14.3324747085571,8.41199493408203,3.64337635040283,34733.0,6.0,6.0,2904978.0,0.3333333333333333
2006,Missouri,5.15,6.61,5.15,6.61,5.15,6.61,201.6,5.15,5.15,6.61,5.15,6.61,,26,0.282768785953522,0.619018971920013,0.840684711933136,0.798447072505951,26,43.2745971679688,31.743408203125,17.8113765716553,14.1852426528931,8.35502624511719,3.63702654838562,44579.0,4.0,3.5,5842704.0,0.2
2006,Montana,4.0,5.13,5.15,6.61,5.15,6.61,201.6,4.00 - 5.15,4.0,5.13,5.15,6.61,,27,0.269621193408966,0.66426408290863,0.848719656467438,0.734981298446655,27,44.4489707946777,33.0543479919434,17.8391342163086,13.9330358505249,7.8432559967041,3.20012807846069,41105.0,3.0,8.0,952692.0,0.3333333333333333
2006,Nebraska,5.15,6.61,5.15,6.61,5.15,6.61,201.6,5.15[c],5.15,6.61,5.15,6.61,[c],28,0.282401144504547,0.605295896530151,0.828538656234741,0.805105447769165,28,40.3444976806641,30.0022926330566,17.5505847930908,14.2653455734253,8.80939102172852,4.10344409942627,48145.0,3.0,5.6,1772693.0,0.5
2006,Nevada,5.15,6.61,5.15,6.61,5.15,6.61,201.6,5.15,5.15,6.61,5.15,6.61,,29,0.378562539815903,0.628045439720154,0.920052468776703,1.35598754882813,29,56.2611999511719,46.5174942016602,32.2993469238281,28.2135906219482,20.5938549041748,12.1851205825806,52282.0,4.0,8.5,2522658.0,0.2
2006,Ohio,2.8,3.59,5.15,6.61,5.15,6.61,201.6,2.80 - 4.25(g),2.8,3.59,4.25,5.45,(g),36,0.269969940185547,0.585732519626617,0.797499001026154,0.728675186634064,36,41.9648551940918,30.5070114135742,16.6417217254639,13.0797672271729,7.47117710113525,3.1126344203949,45900.0,5.0,2.4,11481213.0,0.3333333333333333
2006,Pennsylvania,5.15,6.61,5.15,6.61,5.15,6.61,201.6,5.15,5.15,6.61,5.15,6.61,,39,0.299495309591293,0.606761276721954,0.852796196937561,0.881447494029999,39,46.2585983276367,34.1240310668945,19.436939239502,15.4877901077271,9.13306903839111,3.98248314857483,48477.0,4.0,4.1,12510809.0,0.3333333333333333
2006,Tennessee,0.0,0.0,5.15,6.61,5.15,6.61,201.6,...,0.0,0.0,0.0,0.0,,43,0.296203374862671,0.642082691192627,0.857451498508453,0.881348013877869,43,47.2043800354004,35.8293037414551,20.7573776245117,16.7654361724854,10.2022743225098,4.65339374542236,40693.0,5.0,5.3,6088766.0,0.09090909090909091
2006,Texas,5.15,6.61,5.15,6.61,5.15,6.61,201.6,5.15,5.15,6.61,5.15,6.61,,44,0.33343580365181,0.644621193408966,0.906120181083679,1.07156872749329,44,48.9482460021973,37.9447364807129,23.1800575256348,19.0842418670654,12.1414566040039,5.90167665481567,43307.0,4.0,9.9,23359580.0,0.3333333333333333
2006,Utah,5.15,6.61,5.15,6.61,5.15,6.61,201.6,5.15,5.15,6.61,5.15,6.61,,45,0.298781037330627,0.590624451637268,0.831007838249207,0.892545342445374,45,44.3275566101074,33.2992668151855,19.6534881591797,15.9124755859375,9.73803043365479,4.47765874862671,54628.0,3.0,12.4,2525507.0,0.16666666666666666
2006,Vermont,7.25,9.3,5.15,6.61,7.25,9.3,201.6,7.25,7.25,9.3,7.25,9.3,,46,0.280864536762238,0.602937340736389,0.830707848072052,0.780792772769928,46,45.031005859375,32.9855346679688,18.2966804504395,14.4301204681396,8.30868530273438,3.50139117240906,51981.0,3.0,3.4,622892.0,0.0
2006,Virginia,5.15,6.61,5.15,6.61,5.15,6.61,201.6,5.15[c],5.15,6.61,5.15,6.61,[c],47,0.31188690662384,0.563046157360077,0.846356391906738,0.916250109672546,47,42.7842636108398,33.1241264343262,17.6323413848877,13.6802701950073,7.58300447463989,3.02636241912842,57119.0,3.0,5.0,7673725.0,0.25
